"Listing"

"WFR Listing"
"Created 15 February 2022 02:20"


"CVN","IMO Number","Name","Built Date","Owner","Status","GT","Year Rebuilt Convert","Old Type","Main Bunker Capacity (m3)","Beta Atlantic/Pacific Based (Last 12 Months)","TEU","FEU Total Cap","Launch Date","Operational Speed (knots)","TPC","NT","Strengthened for Heavy Cargo","Strengthened for Ore","Owner Main Vessel Type","SOx Scrubber 1 Retrofit Date","Max TEU in Holds","Max TEU on Deck","Alternative Name","Ballast Cap (cu m)","Propulsor Detail","Crew Total No","Public Listed Company","Financial Lessor Owner","Alternative Fuel Types","Cargo Interests Company","State Interests Company","Private Equity Company","Joint Venture Company (Owner)","Hull No","Registered Owner Company","Box Hold Ind","Group Owner Country/Region","Great Lakes Only","Call Sign"
16170849,9565065,"Sohar Max","01-Sep-2012","Oman Shipping Co","In Service",201384,,,,"Atlantic/Pacific",,,"08-Apr-2012",10.78,,68974,,"Y","Crude/Products Tanker","13-Apr-2020",,,"Sohar Max",190772,"1 x FP Propeller (Aft Centre) (mechanical), Wartsila CME, 80rpm",,,,,,"Y",,,"1125","Vale Sohar Maritime Transportation Co. Ltd.",,"Oman",,"V7ZP8"
16170852,9566514,"Liwa Max","01-Aug-2012","Oman Shipping Co","In Service",201384,,,,"Atlantic/Pacific",,,"20-Mar-2012",10.83,,68974,,"Y","Crude/Products Tanker","11-May-2020",,,"Liwa Max",190825,"1 x FP Propeller (Aft Centre) (mechanical), Wartsila CME, 80rpm",,,,,,"Y",,,"1126","Vale Liwa Maritime Transportation Co. Ltd.",,"Oman",,"V7ZP9"
16138610,9532525,"Pacific Warrior","01-May-2012","China VLOC","In Service",201384,,,,"Atlantic/Pacific",,,"01-Nov-2011",10.38,,68974,,,"Capesize Bulker","23-Nov-2019",,,"Pacific Warrior",187084,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 76rpm, Ø1m",,,,,,"Y",,,"H1107","Pacific Warrior Shipping Company Limited",,"Hong Kong",,"VROZ4"
16138649,9532551,"Yuan Zhen Hai","01-Mar-2013","China Ore Shipping","In Service",201384,,,,"Atlantic/Pacific",,,"26-Jul-2012",10.84,,68974,,,"Capesize Bulker","04-Jun-2020",,,"Yuan Zhen Hai",187084,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 76rpm, Ø1m",,,,,,"Y",,"Y","H1110","China Ore Shipping",,"China P.R.",,"9V9120"
16138652,9532575,"Yuan Shi Hai","01-Jul-2013","China Ore Shipping","In Service",201384,,,,"Atlantic/Pacific",,,"11-Dec-2012",11.39,,68974,,,"Capesize Bulker","15-Aug-2020",,,"Yuan Shi Hai",187084,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 76rpm, Ø1m",,,,,,"Y",,"Y","H1111","China Ore Shipping Pte. Ltd.",,"China P.R.",,"9V9121"
16138665,9532587,"Yuan Jian Hai","01-Nov-2013","China Ore Shipping","Idle",201384,,,,"Atlantic/Pacific",,,"02-Mar-2013",11.56,,68974,,,"Capesize Bulker","16-Jun-2020",,,"Yuan Jian Hai",187084,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 76rpm, Ø1m",,,,,,"Y",,"Y","H1112","China Ore Shipping Pte. Ltd.",,"China P.R.",,"9V9122"
16138599,9522972,"Ore China","01-Nov-2011","VLOC Holding","In Service",201384,,,,"Atlantic/Pacific",,,"10-Jul-2011",11.03,,68974,,,"Capesize Bulker","26-Feb-2020",,,"Ore China",187084,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 76rpm, Ø1m",,,,,,"Y",,,"H1105","Ore China HK Limited",,"China P.R.",,"VRPH2"
16138607,9532513,"Ore Dongjiakou","01-Apr-2012","VLOC Holding","In Service",201384,,,,"Atlantic/Pacific",,,"01-Nov-2011",10.69,,68974,,,"Capesize Bulker","13-Aug-2019",,,"Ore Dongjiakou",187084,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 76rpm, Ø1m",,,,,,"Y",,,"H1106","Ore Dongjiakou HK Ltd.",,"China P.R.",,"VRPG9"
16138623,9532537,"Ore Hebei","01-Sep-2012","VLOC Holding","In Service",201384,,,,"Atlantic/Pacific",,,"20-Feb-2012",10.46,,68974,,,"Capesize Bulker","31-Aug-2019",,,"Ore Hebei",187084,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 76rpm, Ø1m",,,,,,"Y",,,"H1108","Ore Hebei HK Limited",,"China P.R.",,"VRPG8"
16138636,9532549,"Ore Shandong","01-Dec-2012","VLOC Holding","In Service",201384,,,,"Atlantic/Pacific",,,"21-Jun-2012",10.84,,68974,,,"Capesize Bulker","29-Aug-2019",,,"Ore Shandong",187084,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 76rpm, Ø1m",,,,,,"Y",,,"H1109","Ore Shandong HK Limited",,"China P.R.",,"VRPH3"
