"Listing"

"WFR Listing"
"Created 15 February 2022 21:18"


"CVN","IMO Number","Name","MMSI (Maritime Mobile Service Identity)","Ex Name","Flag State","Operator","Owner","Group Owner","Built Date","Keel Laid Date","Contract Date","LDT","Demo $/LDT","Demo Date","Dwt","Beam Mld (m)","Draught (m)","Gear Detail","Price (NB)","Currency (NB)","Main Engine Fuel Type","Main Consumption at Service Speed (tpd)
","Main Engine Detail","HP Total Propulsion","SOx Scrubber Status","Eco – Electronic Engine","Environmental Detail","Service Speed (knots)","Holds Total No","Grain Capacity (cu m)","Type","Main Global Zone (Last 12 Months %)","Est Crew No","LOA (m)","Ballast Speed (knots)","Laden Speed (knots)","Main Engine LNG Ready","Owner Nationality/Region","Builder"
12771095,8420804,"Geostahl",,"Berge Stahl","Comoro Islands",,"Berge Bulk","Berge Bulk","01-Dec-1986","14-Mar-1986",,41568,,"16-Apr-2021",364768,63.5,23,,,,"VLS IFO",67,"1 x Diesel - MAN B. & W. 7L90MC-E Mk1 - 2-stroke 7-cyl. 900mm x2916mm bore/stroke 20,902mkW total at 73rpm",28420,,,,13.5,5,199325,"Ore Carrier",,21,342,,,,"Bermuda","Hyundai HI (Ulsan)"
11356329,9030943,"Neptune 1",620786000,"Stellar Neptune","Comoro Islands",,"Polaris Shipping","Polaris Shipping","01-Sep-1993","06-Jan-1993",,39941,422,"11-Dec-2020",242692,58,21.92,,,,"VLS IFO",80,"1 x Diesel - Mitsubishi 7UEC85LSII - 2-stroke 7-cyl. 850mm x3150mm bore/stroke 20,594mkW total at 62rpm",28000,,,,15,7,158289,"Ore Carrier",,20,332.5,,,,"South Korea","Unknown China"
11356453,9030955,"Stellar Liberty",538004846,"Ore Salobo","Marshall Is.",,"Polaris Shipping","Polaris Shipping","01-Nov-1993","26-Feb-1993",,46194,392,"30-Oct-2020",291435,58,21.6,,,,"VLS IFO",80,"1 x Diesel - Mitsubishi 7UEC85LSII - 2-stroke 7-cyl. 850mm x3150mm bore/stroke 20,594mkW total at 62rpm",28000,,,,15,7,158289,"Ore Carrier",,19,332.5,,,,"South Korea","Unknown China"
11356587,9030967,"Stellar Samba",538004971,"Ore Fazendao","Marshall Is.",,"Polaris Shipping","Polaris Shipping","01-Jan-1994","26-Apr-1993",,39941,295,"05-Jun-2020",291435,58,21.62,,,,"VLS IFO",80,"1 x Diesel - Mitsubishi 7UEC85LSII - 2-stroke 7-cyl. 850mm x3150mm bore/stroke 20,594mkW total at 62rpm",28000,,,,15,7,156064,"Ore Carrier",,19,332.5,,,,"South Korea","Unknown China"
11356611,9030979,"Stellar Ocean",538004849,"Ore Caue","Marshall Is.",,"Polaris Shipping","Polaris Shipping","01-Feb-1994","20-Apr-1993",,43200,392,"30-Oct-2020",305668,58,22.14,,,,"VLS IFO",71,"1 x Diesel - Sulzer 7RTA84M - 2-stroke 7-cyl. 840mm x2900mm bore/stroke 20,230mkW total at 64rpm",27500,,,,14.25,7,144825,"Ore Carrier",,,331.5,,,,"South Korea","Unknown China"
11356745,9030981,"Queen 1",620751000,"Stellar Queen","Comoro Islands",,"Polaris Shipping","Polaris Shipping","01-Jun-1994","13-Jul-1993",,38572,355,"05-Sep-2020",305846,58,22.14,,,,"VLS IFO",71,"1 x Diesel - Sulzer 7RTA84M - 2-stroke 7-cyl. 840mm x2900mm bore/stroke 20,226mkW total at 64rpm",27500,,,,14.25,7,147868,"Ore Carrier",,,331.5,,,,"South Korea","Unknown China"
11374499,9060326,"Hermes 1",620750000,"Stellar Hermes","Comoro Islands",,"Polaris Shipping","Polaris Shipping","01-Mar-1994","24-Aug-1993",,38209,355,"05-Sep-2020",295520,58,22.23,,,,"VLS IFO",85.7,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,,,,14.6,9,157670,"Ore Carrier",,19,332.09,,,,"South Korea","Unknown China"
15705907,9321275,"Brasil Maru",352131000,,"Panama",,"Mitsui OSK Lines","Mitsui OSK Lines","01-Dec-2007","27-Dec-2004","18-Mar-2004",,,,327180,60,21,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 7S80MC-C6.1 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 23,640mkW total at 66rpm",32141,"Fitted",,"1 x Exhaust Scrubber - SOx - Wartsila Moss - 2019 installation year, 1 x BWTS - Ballast Water Treatment System - Sunrui BC-5000 at 5000cu.m/hr - 2021 installation year",,9,200867,"Ore Carrier","East Asia (29.3 %)",24,340,,,,"Japan","Mitsui SB (Chiba)"
15909723,9340001,"Global Harmony",357156000,,"Panama",,"Mitsui OSK Lines","Mitsui OSK Lines","01-Sep-2009","08-Dec-2004","06-Dec-2004",,,,327095,60,21,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 7S80MC-C6.1 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 23,640mkW total at 66rpm",32141,"Fitted",,"1 x Exhaust Scrubber - SOx - Wartsila Moss Open Loop - 2019 installation year, 1 x BWTS - Ballast Water Treatment System - 2019 installation year",,9,200867,"Ore Carrier","East Coast South America (25.1 %)",21,340,,,,"Japan","Mitsui SB (Chiba)"
15815381,9339961,"Tubarao Maru",370303000,,"Panama","Mitsui OSK Lines","Doun Kisen","Doun Kisen","01-Aug-2008","14-Dec-2004","01-Jun-2004",,,,327127,60,21,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 7S80MC-C6.1 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 23,640mkW total at 66rpm",32141,"Fitted",,"1 x Exhaust Scrubber - SOx - Wartsila Moss Open Loop - 2019 installation year",,9,200867,"Ore Carrier","East Coast South America (26.4 %)",23,340,,,,"Japan","Mitsui SB (Chiba)"
11373289,9048110,"Pioneer",620808000,"Stellar Pioneer","Comoro Islands",,"Unknown","Unknown","01-Jul-1994","22-Dec-1993",,46048,430,"15-Jan-2021",298624,58,22.22,,,,"VLS IFO",84,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 23,461mkW total at 77rpm",31898,,,,15.3,9,157671,"Ore Carrier",,,332,,,,"Unknown","Unknown Yard"
