"Listing"

"WFR Listing"
"Created 09 March 2022 19:04"


"CVN","IMO Number","Name","MMSI (Maritime Mobile Service Identity)","Ex Name","Flag State","Operator","Owner","Group Owner","Built Date","Keel Laid Date","Contract Date","LDT","Demo $/LDT","Demo Date","Dwt","Beam Mld (m)","Draught (m)","Gear Detail","Price (NB)","Currency (NB)","Main Engine Fuel Type","Main Consumption at Service Speed (tpd)
","Main Engine Detail","HP Total Propulsion","SOx Scrubber Status","Eco – Electronic Engine","Environmental Detail","Service Speed (knots)","Holds Total No","Grain Capacity (cu m)","Type","Main Global Zone (Last 12 Months, %)","Est Crew No","LOA (m)","Ballast Speed (knots)","Laden Speed (knots)","Main Engine LNG Ready","Owner Nationality/Region","Status"
16382723,9893917,"Ever Aim",352980788,,"Panama","Evergreen Marine","Evergreen Marine","Evergreen Marine","01-Oct-2021","24-Dec-2020","07-Oct-2019",,,,241960,61.5,14.5,,153,"$m","IFO 380",,"1 x Diesel - WinGD 11X92-B - 2-stroke 11-cyl. 920mm x3468mm bore/stroke 58,600mkW total at 80rpm",79673,"Fitted","Eco – Electronic Engine Modern","2 x Exhaust Scrubber - SOx - Alfa Laval PureSOx, 1 x BWTS - Ballast Water Treatment System",,,,"Fully Cellular Container","East Asia (33.4 %)",,399.97,,,,"Taiwan","In Service"
16382707,9893890,"Ever Ace",352986146,,"Panama","Evergreen Marine","Evergreen Marine","Evergreen Marine","01-Jul-2021","30-Oct-2020","07-Oct-2019",,,,241960,61.5,14.5,,153,"$m","IFO 380",,"1 x Diesel - WinGD 11X92-B - 2-stroke 11-cyl. 920mm x3468mm bore/stroke 58,600mkW total at 80rpm",79673,"Fitted","Eco – Electronic Engine Modern","2 x Exhaust Scrubber - SOx - Alfa Laval PureSOx, 1 x BWTS - Ballast Water Treatment System",18,,,"Fully Cellular Container","South East Asia (30.5 %)",,399.97,,,,"Taiwan","In Service"
16343724,9839179,"CMA CGM Jacques Saade",228386700,,"France","CMA CGM","CMA CGM","CMA CGM","01-Sep-2020","15-Feb-2019","19-Sep-2017",,,,221250,61.3,16,,,,"LNG, VLS IFO",,"1 x Diesel - WinGD 12X92DF - 2-stroke 12-cyl. 920mm x3468mm bore/stroke 63,840mkW total at 80rpm",86798,,"Eco – Electronic Engine Modern","2 x BWTS - Ballast Water Treatment System - Bio-UV BIO-Sea® at 3000cu.m/hr",22,,,"Fully Cellular Container","United Kingdom/Continent (31.6 %)",,399.9,,,,"France","In Service"
16343737,9839181,"CMA CGM Palais Royal",228394600,,"France","CMA CGM","CMA CGM","CMA CGM","01-Nov-2020","15-Feb-2019","19-Sep-2017",,,,221250,61.3,16,,,,"LNG, VLS IFO",,"1 x Diesel - WinGD 12X92DF - 2-stroke 12-cyl. 920mm x3468mm bore/stroke 63,840mkW total at 80rpm",86798,,"Eco – Electronic Engine Modern","2 x BWTS - Ballast Water Treatment System - Bio-UV BIO-Sea® at 3000cu.m/hr",22,,,"Fully Cellular Container","United Kingdom/Continent (28.0 %)",,399.9,,,,"France","In Service"
16343740,9839193,"CMA CGM Rivoli",228397600,,"France","CMA CGM","CMA CGM","CMA CGM","01-Jan-2021","18-Apr-2019","19-Sep-2017",,,,221250,61.3,16,,,,"LNG, VLS IFO",,"1 x Diesel - WinGD 12X92DF - 2-stroke 12-cyl. 920mm x3468mm bore/stroke 63,840mkW total at 80rpm",86798,,"Eco – Electronic Engine Modern","2 x BWTS - Ballast Water Treatment System - Bio-UV BIO-Sea® at 3000cu.m/hr",22,,,"Fully Cellular Container","United Kingdom/Continent (28.1 %)",,399.9,,,,"France","In Service"
16343753,9839167,"CMA CGM Trocadero",228402900,,"France","CMA CGM","CMA CGM","CMA CGM","01-May-2021","21-Jan-2020","19-Sep-2017",,,,220868,61.3,16,,,,"LNG, VLS IFO",,"1 x Diesel - WinGD 12X92DF - 2-stroke 12-cyl. 920mm x3468mm bore/stroke 63,840mkW total at 80rpm",86798,,"Eco – Electronic Engine Modern","2 x BWTS - Ballast Water Treatment System - Bio-UV BIO-Sea® at 3000cu.m/hr",22,11,,"Fully Cellular Container","South East Asia (31.0 %)",,399.9,,,,"France","In Service"
16343766,9839208,"CMA CGM Concorde",228401800,,"France","CMA CGM","CMA CGM","CMA CGM","01-Apr-2021","08-Jan-2020","19-Sep-2017",,,,221250,61.3,16,,,,"LNG, VLS IFO",,"1 x Diesel - WinGD 12X92DF - 2-stroke 12-cyl. 920mm x3468mm bore/stroke 63,840mkW total at 80rpm",86798,,"Eco – Electronic Engine Modern","2 x BWTS - Ballast Water Treatment System - Bio-UV BIO-Sea® at 3000cu.m/hr",22,,,"Fully Cellular Container","South East Asia (28.3 %)",,399.9,,,,"France","In Service"
16343779,9839131,"CMA CGM Champs Elysees",228386800,,"France","CMA CGM","CMA CGM","CMA CGM","01-Oct-2020","29-Mar-2019","19-Sep-2017",,,,220868,61.3,16,,,,"LNG, VLS IFO",,"1 x Diesel - WinGD 12X92DF - 2-stroke 12-cyl. 920mm x3468mm bore/stroke 63,840mkW total at 80rpm",86798,,"Eco – Electronic Engine Modern","2 x BWTS - Ballast Water Treatment System - Bio-UV BIO-Sea® at 3000cu.m/hr",22,11,,"Fully Cellular Container","United Kingdom/Continent (26.6 %)",,399.9,,,,"France","In Service"
16343782,9839143,"CMA CGM Louvre",228394900,,"France","CMA CGM","CMA CGM","CMA CGM","01-Dec-2020","17-Jun-2019","19-Sep-2017",,,,220868,61.3,16,,,,"LNG, VLS IFO",,"1 x Diesel - WinGD 12X92DF - 2-stroke 12-cyl. 920mm x3468mm bore/stroke 63,840mkW total at 80rpm",86798,,"Eco – Electronic Engine Modern","2 x BWTS - Ballast Water Treatment System - Bio-UV BIO-Sea® at 3000cu.m/hr",22,11,,"Fully Cellular Container","United Kingdom/Continent (28.1 %)",,399.9,,,,"France","In Service"
16343795,9839155,"CMA CGM Montmartre",228397700,,"France","CMA CGM","CMA CGM","CMA CGM","01-Mar-2021","08-Oct-2019","19-Sep-2017",,,,220868,61.3,16,,,,"LNG, VLS IFO",,"1 x Diesel - WinGD 12X92DF - 2-stroke 12-cyl. 920mm x3468mm bore/stroke 63,840mkW total at 80rpm",86798,,"Eco – Electronic Engine Modern","2 x BWTS - Ballast Water Treatment System - Bio-UV BIO-Sea® at 3000cu.m/hr",22,11,,"Fully Cellular Container","United Kingdom/Continent (29.1 %)",,399.9,,,,"France","In Service"
16343803,9839210,"CMA CGM Sorbonne",228038360,,"France","CMA CGM","CMA CGM","CMA CGM","01-Jun-2021","28-Jun-2020","19-Sep-2017",,,,221250,61.3,16,,,,"LNG, VLS IFO",,"1 x Diesel - WinGD 12X92DF - 2-stroke 12-cyl. 920mm x3468mm bore/stroke 63,840mkW total at 80rpm",86798,,"Eco – Electronic Engine Modern","2 x BWTS - Ballast Water Treatment System - Bio-UV BIO-Sea® at 3000cu.m/hr",22,,,"Fully Cellular Container","South East Asia (34.3 %)",,399.9,,,,"France","In Service"
16382710,9893905,"Ever Act",352978199,,"Panama","Evergreen Marine","Evergreen Marine","Evergreen Marine","01-Sep-2021","10-Nov-2020","07-Oct-2019",,,,241960,61.5,14.5,,153,"$m","IFO 380",,"1 x Diesel - WinGD 11X92-B - 2-stroke 11-cyl. 920mm x3468mm bore/stroke 58,600mkW total at 80rpm",79673,"Fitted","Eco – Electronic Engine Modern","2 x Exhaust Scrubber - SOx - Alfa Laval PureSOx, 1 x BWTS - Ballast Water Treatment System",18,,,"Fully Cellular Container","United Kingdom/Continent (58.0 %)",,399.97,,,,"Taiwan","In Service"
16382736,9893929,"Ever Alp",352898717,,"Panama","Evergreen Marine","Evergreen Marine","Evergreen Marine","01-Dec-2021","24-Dec-2020","07-Oct-2019",,,,241960,61.5,14.5,,153,"$m","IFO 380",,"1 x Diesel - WinGD 11X92-B - 2-stroke 11-cyl. 920mm x3468mm bore/stroke 58,600mkW total at 80rpm",79673,"Fitted","Eco – Electronic Engine Modern","2 x Exhaust Scrubber - SOx - Alfa Laval PureSOx, 1 x BWTS - Ballast Water Treatment System",,,,"Fully Cellular Container","United Kingdom/Continent (64.2 %)",,399.97,,,,"Taiwan","In Service"
16345494,9839430,"MSC Gulsun",372003000,,"Panama","MSC","CMB Leasing","China Merchants","01-Jul-2019","24-Dec-2015","25-Sep-2017",,,,228149,61.51,16.5,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 11G95ME-C9.5 - 2-stroke 11-cyl. 950mm x3460mm bore/stroke 75,570mkW total at 80rpm",102746,"Fitted","Eco – Electronic Engine Modern","3 x Exhaust Scrubber - SOx - Yara Marine Tech Hybrid, 1 x HVEC -High Voltage External Connection, 2 x BWTS - Ballast Water Treatment System - PANASIA Glo-En™ P1200 at 1200cu.m/hr",,,,"Fully Cellular Container","East Asia (29.2 %)",,399.90,,,,"China P.R.","In Service"
16345502,9839442,"MSC Samar",371047000,,"Panama","MSC","CMB Leasing","China Merchants","01-Jul-2019","29-Dec-2015","25-Sep-2017",,,,228149,61.51,16.5,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 11G95ME-C9.5 - 2-stroke 11-cyl. 950mm x3460mm bore/stroke 75,570mkW total at 80rpm",102746,"Fitted","Eco – Electronic Engine Modern","3 x Exhaust Scrubber - SOx - Yara Marine Tech Hybrid, 1 x HVEC -High Voltage External Connection, 2 x BWTS - Ballast Water Treatment System - PANASIA Glo-En™ P1200 at 1200cu.m/hr",,,,"Fully Cellular Container","East Asia (36.2 %)",,399.90,,,,"China P.R.","In Service"
16345515,9839454,"MSC Leni",356432000,,"Panama","MSC","CMB Leasing","China Merchants","01-Sep-2019",,"25-Sep-2017",,,,228149,61.51,16.5,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 11G95ME-C9.5 - 2-stroke 11-cyl. 950mm x3460mm bore/stroke 75,570mkW total at 80rpm",102746,"Fitted","Eco – Electronic Engine Modern","3 x Exhaust Scrubber - SOx - Yara Marine Tech Hybrid, 1 x HVEC -High Voltage External Connection, 2 x BWTS - Ballast Water Treatment System - PANASIA Glo-En™ P1200 at 1200cu.m/hr",,,,"Fully Cellular Container","East Asia (36.0 %)",,399.90,,,,"China P.R.","In Service"
