"Listing"

"WFR Listing"
"Created 15 February 2022 02:18"


"CVN","IMO Number","Name","Built Date","Owner","Status","GT","Year Rebuilt Convert","Old Type","Main Bunker Capacity (m3)","Beta Atlantic/Pacific Based (Last 12 Months)","TEU","FEU Total Cap","Launch Date","Operational Speed (knots)","TPC","NT","Strengthened for Heavy Cargo","Strengthened for Ore","Owner Main Vessel Type","SOx Scrubber 1 Retrofit Date","Max TEU in Holds","Max TEU on Deck","Alternative Name","Ballast Cap (cu m)","Propulsor Detail","Crew Total No","Public Listed Company","Financial Lessor Owner","Alternative Fuel Types","Cargo Interests Company","State Interests Company","Private Equity Company","Joint Venture Company (Owner)","Hull No","Registered Owner Company","Box Hold Ind","Group Owner Country/Region","Great Lakes Only","Call Sign"
12771095,8420804,"Geostahl","01-Dec-1986","Berge Bulk","Dead/Demolished",175720,,,5000,,,,"04-Sep-1986",8.14,196.8,61796,,"Y","Capesize Bulker",,,,"Geostahl",270946,"1 x FP Propeller (Aft Centre) (mechanical), 73rpm",21,,,,,,,,"416","Gaia Shipping Ltd.",,"Bermuda","N","D6A2864"
11356329,9030943,"Neptune 1","01-Sep-1993","Polaris Shipping","Dead/Demolished",164325,2011,"Tanker",7000,,,,"24-Apr-1993",8.32,171.6,49297,,,"Capesize Bulker",,,,"Neptune 1",203058,"1 x FP Propeller (Aft Centre) (mechanical), 62rpm",20,,,,,,,,"2064","Libra Seaway Ltd.",,"South Korea",,"D6A2797"
11356453,9030955,"Stellar Liberty","01-Nov-1993","Polaris Shipping","Dead/Demolished",164325,2011,"Tanker",7000,,,,"02-Jul-1993",,171.6,49297,,,"Capesize Bulker",,,,"Stellar Liberty",203058,"1 x FP Propeller (Aft Centre) (mechanical), 62rpm",19,,,,,,,,"2065","PS-2 SHIPPING INC.",,"South Korea",,"V7ZK5"
11356587,9030967,"Stellar Samba","01-Jan-1994","Polaris Shipping","Dead/Demolished",164325,2011,"Tanker",7000,,,,"10-Sep-1993",,171.6,49297,,,"Capesize Bulker",,,,"Stellar Samba",203058,"1 x FP Propeller (Aft Centre) (mechanical), 62rpm",19,,,,,,,,"2066","PS-2 SHIPPING INC.",,"South Korea",,"V7AD5"
11356611,9030979,"Stellar Ocean","01-Feb-1994","Polaris Shipping","Dead/Demolished",162393,2010,"Tanker",7471,,,,"16-Oct-1993",10.07,170.1,48717,,,"Capesize Bulker",,,,"Stellar Ocean",220303,"1 x FP Propeller (Aft Centre) (mechanical), 64rpm",,,,,,,,,"137","PS-2 SHIPPING INC.",,"South Korea",,"V7ZK8"
11356745,9030981,"Queen 1","01-Jun-1994","Polaris Shipping","Dead/Demolished",162393,2010,"Tanker",7471,,,,"21-Jan-1994",8.6,170.1,48717,,,"Capesize Bulker",,,,"Queen 1",220303,"1 x FP Propeller (Aft Centre) (mechanical), 64rpm",,,,,,,,,"138","Niletta Marine Inc.",,"South Korea",,"D6A2775"
11374499,9060326,"Hermes 1","01-Mar-1994","Polaris Shipping","Dead/Demolished",160890,2011,"Tanker",7588,,,,"19-Dec-1993",9.58,167.14,107658,,,"Capesize Bulker",,,,"Hermes 1",158248,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",19,,,,,,,,"842","Lyra Trading Ltd.",,"South Korea",,"D6A2774"
15909723,9340001,"Global Harmony","01-Sep-2009","Mitsui OSK Lines","In Service",160774,,,,"Atlantic/Pacific",,,"20-Jun-2009",12.24,,62589,,,"Diverse","28-Oct-2019",,,"Global Harmony",204358,"1 x FP Propeller (Aft Centre) (mechanical), 66rpm",21,"Y",,,,,,,"1683","TAMOU LINE S.A.",,"Japan","N","3FOI8"
15705907,9321275,"Brasil Maru","01-Dec-2007","Mitsui OSK Lines","In Service",160774,,,,"Atlantic/Pacific",,,"24-Sep-2007",11.85,,62589,,,"Diverse","25-Dec-2019",,,"Brasil Maru",204358,"1 x FP Propeller (Aft Centre) (mechanical), 66rpm",24,"Y",,,,,,,"1660","TAMOU LINE S.A.",,"Japan","N","3ENR9"
15815381,9339961,"Tubarao Maru","01-Aug-2008","Doun Kisen","In Service",160774,,,,"Atlantic/Pacific",,,"15-May-2008",11.43,,62589,,,"Bulker","07-Nov-2019",,,"Tubarao Maru",204358,"1 x FP Propeller (Aft Centre) (mechanical), 66rpm",23,,"Y",,,,,,"1668","G.O.D. SHIPPING S.A.",,"Japan","N","3ESH6"
11373289,9048110,"Pioneer","01-Jul-1994","Unknown","Dead/Demolished",160666,2011,"Tanker",8014,,,,"29-Apr-1994",10.66,167.14,48504,,"Y",,,,,"Pioneer",158248,"1 x FP Propeller (Aft Centre) (mechanical), 77rpm",,,"Y",,,,,,"823","Partagas Maritime Ltd.",,"Unknown",,"D6A2819"
11374523,9060338,"Stellar Rio","01-May-1994","Polaris Shipping","Dead/Demolished",160666,2011,"Tanker",7588,,0,,"08-Feb-1994",9.02,167.14,48504,,"Y","Capesize Bulker",,,,"Stellar Rio",158248,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",19,,,,,,,,"843","Vp-8 Shipping Inc.",,"South Korea",,"V7AD4"
11373447,9048134,"Stellar Knight","01-Jan-1995","Polaris Shipping","Dead/Demolished",160666,2011,"Tanker",8014,,,,"04-Oct-1994",,167.14,48504,,"Y","Capesize Bulker",,,,"Stellar Knight",158640,"1 x FP Propeller (Aft Centre) (mechanical), 77rpm",,,,,,,,,"825","Vp-1 Shipping Inc.",,"South Korea",,"V7ZK4"
